drugName,condition,review,rating,predicted_rating,generated_summary,identified_sentiment
Etonogestrel,Birth Control,"I would rate this with a negative number if I could. I got the implant in October of 2015. I loved it the first month then everybody noticed my attitude changed for the worse. Along with that I have anxiety which I never had before, depression, and sometimes it feels like a panic attack. All of a sudden I will get this intense feeling of sadness and burst into tears, for NO REASON! My memory is terrible now, I feel like I forget everything. After several break ups with my boyfriend he stayed with me but the mood swings are killing us. I just made my appointment to get it removed. I cant wait for the old me to be back!",1,1,Severe side effects requiring removal.,negative
Azithromycin,Chlamydia Infection,"Pretty sure it cured the chlamydia, but I ended up in the ER. I guess I am very allergic to azithromycin.",5,1,Severe allergic reaction requiring ER visit.,negative
Nortriptyline,Pain,"For over 20 years I have had chronic facial nerve pain from a surgery that was messed up. I also had 2 additional surgeries to 'correct' the problem but they were not successful. My only success with managing pain has been with morphine. Unfortunately it keeps me awake if taken close to bedtime. I was given Nortriptyline to try for sleep and pain relief (so as not to awaken in pain), but it was awful - the couple hours of interrupted sleep I had were with very bad nightmares. I stopped taking this medication as a result and will continue to look for a ""real"" sleeping pill that works & that I am not tolerant of. In the meantime I would rather not sleep!",1,2,Awful medication causing bad dreams and insomnia.,negative
Sulfamethoxazole / trimethoprim,Urinary Tract Infection,"I got this for a UTI at the ER. The next day I had an intense sharp headache that caused me to throw up. I lost my appetite as well and hardly ate for two weeks because I couldn't stomach anything and ended up losing a lot of weight . I also broke out in a terrible painful rash. It was all over my arms, chest, face, and neck. After two days I had to go to my regular doctor for steroids and a change in the antibiotics. The absolute worst experience on any medication, really surprised it's still on the market after reading all the reviews",1,1,Severe side effects requiring steroids and medication change.,negative
Lithium,Bipolar Disorde,"I have been on lithium for 14 years. I take 2100 mg a day and almost all of my suicidal obsessions have gone away. It controls most of my mania but only puts a small dent in the depression. If I miss a dose I will start into mania, so don't miss doses. The only side effect I have is tremor. I take 3 other psych meds and have always been amazed how clear headed I usually am on lithium.",10,8,Effective for bipolar disorder with manageable tremor.,positive
Fexofenadine,Allergic Rhinitis,"I suffer from chronic sinusitis caused by allergies. I also had a bad case of bronchitis a year and a half ago and 3 respiratory infections since. I have tried a bunch of antibiotics, Claritin D, Zyrtec, Bendryl, Mucinex, Singulair, cough syrups and other OTC decongestants, herbal supplements, steroids, and the Neti Pot. Only the Neti Pot helped me feel better for an hour or so and washed away a lot of the allergens but the sinus inflammation and bronchial irritation due to post nasal drip returned fast. I just started using Allegra 3 days ago and the difference is remarkable. I can breath again! I also sleep better and I don't feel tired all the time. I have not experienced any side-effects so far.",10,10,Life-changing relief from chronic sinusitis and bronchitis with Allegra.,positive
Wellbutrin XL,Depression,"I really wanted Wellbutrin to work. I was given 150 mg once daily. At first it seemed to be helping with minimal side effects, but about 4 or 5 weeks in I was so depressed and not even getting out of bed. I was so agitated, even with the addition of a mood stabilizer. Wellbutrin was not a pleasant experience for me.",3,1,Severe depression and agitation with no benefit.,negative
Desogestrel / ethinyl estradiol,Birth Control,"I have been taking reclipsen for 3 months (just finished my third package). I was on Yaz for one year, then Lutera, and now am on Reclipsen. Out of the 3, Reclipsen is hands down my favorite. I stopped taking Yaz after reading scary reviews online, and hearing negative reviews from other women I know. The side effects I experienced were noticable. I experienced a lot of spotting between periods, and if I forgot to take the pill at the exact same time every day, my period started right away--sometimes just hours later! Lutera made my fairly-clear skin break out, and made me EXTREMELY moody and often depressed. The main side effect I have noticed with Reclipsen is breast growth. At least a cup size this last month! (no complaints).",8,8,Effective with manageable breast growth.,positive
Doxycycline,Urinary Tract Infection,I had a severe urinary tract infection and walking pneumonia and doxycycline saved my life. I had 8 seizures back to back due to the serious infections and they tried keflex 1st but it did not work. Doxycycline is awesome and I'm alive today because of it!,10,10,Life-saving treatment for serious infections.,positive
Phentermine,Obesity,"I haven't wrote a review on here in a while but really want others to share because it helps me keep going. So I began in May 2015 at 275 my highest weight ever, I am now at 220 according to my scale at home which usually is a little over my docs scale. I have taken a total of 5 month doses in these 8 months because I don't want to purely depend on the pills. But they are amazing I get crazy cravings and loose motivation easily these help so much. I would like to loose another 40lbs to help me keep it off I plan on using b-12 shots that I also love.",10,8,Effective weight loss aid with occasional cravings.,positive
Nexplanon,Birth Control,I have had it for about 2 1/2 months & I have been bleeding for a month & a half,6,5,Severe cramping and prolonged bleeding with Nexplanon.,negative
Hyoscyamine / methenamine / methylene blue / phenyl salicylate,Urinary Tract Infection,I have Chronic urinary tract infections. This is the best medicine for pain.,10,10,Effective pain relief for chronic UTIs.,positive
Lorcaserin,Weight Loss,"I've been taking Belviq for 1 week, I haven't lost any weight yet. I do believe it's helping me not crave sweets! I have a major sweet tooth & after 1 day on Belviq I have had no cravings for the sweets. I do have dry mouth so drinking a lot of water which is a +! Also I'm very tired, it's all I can do to get through work. Hoping I start to feel better, I can't take much more of this tiredness. I hope I start seeing the scale go down.",6,5,"No weight loss, improved cravings, minor side effects.",negative
Imodium,Diarrhea,I had a torn hole in colon from this which needed surgery to repair. Over two months to recover. expensive. very dangerious. This should not be over counter purchase it should be only by doctor orders.,1,1,Severe adverse reactions requiring surgery and long-term recovery.,negative
Climara,Postmenopausal Symptoms,I have been using this patch for one week and It keeps falling off. One shower and It is off. I didn't have any relief from this. Around the edges It collects dirt and then doesn't stick.,1,2,Frequent detachment and dirt collection prevent symptom relief.,negative
Lisdexamfetamine,ADHD,"I was diagnosed about 8 months ago with ADHD and am 31 years old. I always knew that something wasn't quite right, but growing up the teachers just told my parents that I was a ""social butterfly"" and wasn't interested in school. When I went to college I just stuck with classes that I knew information about. I am currently taking a class that I really have no interest or knowledge in and it's AMAZING. I was one of two people that passed 3 tests a couple of weeks ago...and this week I passed 2 tests with 100%. LOVE IT.",10,8,Effective ADHD treatment leading to improved academic performance.,positive
Scopolamine,Nausea/Vomiting,"I Often get sick when going offshore fishing. I always trooper through it, but wanted something that may allow me to really enjoy the trip. This wasn't it. I have NEVER been so sick. Every time I ate or drank for 10 hours out there, I would throw it up within 20 minutes. Usually, when I use one of the pills I get sick once or twice and that's it. This didn't work at all for me.",1,1,Complete treatment failure causing extreme nausea.,negative
Meloxicam,Osteoarthritis,"I have been suffering with osteoarthritis in both knees and hips, sleepless nights and anxiety when I have to move (especially after sitting a length of time). Meloxicam improved my pain and mobility in just a couple of days. I take 15mg every day and I am extremely thankful for this medicine!",9,10,Effective pain relief and improved mobility.,positive
Bisacodyl,Constipation,I got terrible pain AND diarrhea after taking this medicine. I took similar product in the past AND this one is Indeed the worst one.,1,1,Severe side effects make this the worst constipation relief product.,negative
Skyla,Birth Control,"The insertion of it was so painful I was shaking, sweating, and nauseous. I stood up, white washed face, totally pale and about to vomit/pass out. Prior to this, my doctor gave me three ""extra-strength ibuprofen"". It wasn't nearly enough, I wanted to die. After one month of solid period bleeding, writhing around in pain in the fetal position, tears streaming down my face from excruciating pain, my mother took me to the hospital. They did an ultrasound to make sure the IUD was in it's proper place and not stabbing through my uterine walls. Surprise! My body was having contractions trying to push out the IUD. I had the IUD removed the next day. It took two doses of morphine to get the pain to dull out. Horrible, horrible experience.",1,1,Horrible IUD insertion causing severe pain and hospitalization.,negative
Gabapentin,Hot Flashes,"I started taking Gabapentin two weeks ago. My doctor prescribed it for my hot flashes and night sweats. I was averaging two to three hot flashes an hour and terrible night sweats every night. It was very debilitating and overwhelming. Since starting the Gabapentin the night sweats have vanished altogether and I average two hot flashes a day! it's a lifesaver for me. I take three 300 mg. pills per day, one in the morning, one after dinner and one before bed.",10,10,Life-changing relief for hot flashes and night sweats.,positive
Propofol,Anesthesia,"I'm 66 and had my first colonoscopy yesterday. I'd never had a general anesthetic before, and didn't know what to expect. On the operating table when he said he was beginning to administer the medicine I thought I should start feeling sleepy within a few seconds. Then the nurse said the procedure is over and asked how I felt. It was just that fast. No feeling of losing or regaining consciousness. Afterward I was completely clear-headed and in good spirits. I couldn't ask for any better experience for general anesthesia.",10,10,"Rapid onset, clear-headed recovery, no side effects.",positive
Chlorpheniramine,Allergic Rhinitis,"I have used this medicine since grade school for allergy and hay fever (dust, mold, pollen, etc) and find it is really big on effect and its side effect, drowsiness, doesn't seem to bother me. This said, others that I have recommended it to say its like a tranquilizer. For taming allergic conditions, this is great - second only to diphenhydramine in effectiveness for an OTC. Diphenhydramine, however, has a much stronger drowsiness side effect for me. The best news is that this is cheap! Around $4 for 100 4mg tab doses.",9,8,Effective allergy treatment with mild drowsiness. Good value for money.,positive
Zyrtec,Urticaria,"As someone who uses Zyrtec as one of 2 primary treatments (The other being Benadryl.) I can vouch that Zyrtec gets the job done as described. 24 hours of itch free and low-drowsiness is very suitable for me. If you are someone having withdrawals from Zyrtec then you don't take it right. It only occurs when your body needs the Zyrtec in order for your brain to be chemically balanced. This usually occurs if you take it based on a schedule rather then when you notice your real symptoms. If you listen to your doctor and/or the label, then you will be like me as someone who is happy to be symptom free.",9,8,Effective itch relief with low-drowsiness; proper use is key.,positive
Tofranil,Panic Disorde,"Nightmares, hard to sleep.",4,2,Severe side effects with no apparent benefit.,negative
Differin,Acne,"I tell ya. The differin gel I was prescribed at the dermatologist, worked great. But the differin gel that is now available in stores, like walmart. HORRIBLE. Not the same at all. Different color as well. 12 dollars down the drain.",1,3,"Prescription Differin effective, store-bought version disappointing.",negative
Phentermine,Weight Loss,"I have always been up and down with my weight, but never to the point where you look at yourself in the mirror and don't know who you are looking at any more. Well!!! I have reached that point where I said ""ENOUGH IS ENOUGH"" I tried working out and eating well, a personal trainer, fasting, pills, diets and a lot more. You name it, I tried it! Well 6 weeks ago I decided to give Adipex-P along with B12 & Methionine Inositol Choline (MIC) Injections injections a try. Guess what? I have lost 26 pounds. I cant explain how amazing this feels... IT WORKS! The 1st week alone I lost 8 pounds and I didn't even work out. The only side effect I got is Dry mouth which is good b/c it keep you drinking water. Once you see it works you will keep going b/c you feel motivated. Good Luck :) & GBU",10,8,Effective weight loss with minimal side effects.,positive
Leflunomide,Rheumatoid Arthritis,"I had high hopes for this medicine, but aside from not helping my inflammation or pain. I'm experiencing itching, red skin, blisters on my tongue and a lot of my hair falling out. Not sure I can stand the itching til my blood work up in November. Here's hoping the side effects will decrease.",2,2,No relief; severe side effects.,negative
Adipex-P,Weight Loss,"I started taking Adipex on 3/21/12. My starting weight was 271.5. Today is 4/25/12 and I weigh 258lbs. I've lost a total of 13.5 lbs. I'm certain I could've lost WAY more. After over a month, I still have 1/2 a bottle left. The side effects of the pill (rapid heart beat, dizziness from not eating..etc) brought out my pre-existing anxiety issues. I stopped taking it for 2 weeks and got back to eating wrong but I started again a little over a week ago and I'm losing like CRAZY! I weigh everyday and the number keeps getting smaller (side effects are GONE). I sometimes skip a pill, but I still don't feel like I'm starving like I used to. Will continue to take it until I reach 145lbs. I haven't exercised, but I did purchase the INSANITY workout and will start soon.",9,8,Effective weight loss with manageable side effects.,positive
Sertraline,Depression,"20 year old male. After failing 2 of my college classes in one semester, decided it was time to do something about my increasing depression. Doctor started me on Zoloft. Took about 4 weeks to start to notice the effects. Occasional shakes. Memory loss was frequent. Immediately noticed a decrease in sex drive and wasn't a problem until I started dating again and couldn't get it up the first time I got with my current girlfriend. Luckily she is understanding. My doctor is switching me to Wellbutrin. If it wasn't for the decreased sex drive I probably would have stayed on it.",7,5,Some relief but with notable side effects.,negative
Multivitamin,Dietary Supplementation,"I took this to help with hair loss. I had a very bad allergic reaction on different occasions. Tight chest and throat, nausea, fast heart rate, vision changes.",1,1,Allergic reaction to multivitamin.,negative
Liraglutide,"Diabetes, Type 2",I'm 33yrs old and have been on Victoza since 11/2010 starting weight of 202lbs and I have Insulin Resistance Pre-Diabetes. I'm on a 1.2mg dosage. I've been following a low-carb diet (50g/day) and have lost 36lbs so far. I'm no longer experiencing any side effects. I'm amazed on how things I struggled with over the past 10 years are reversed. I no longer have migraines and even my eye sight has improved.,10,10,Life-changing efficacy with no side effects.,positive
Topiramate,Bipolar Disorde,Love it for bi-polar disorder and losing weight! I've been on this for just over 3 yrs and I've lost close to 100lbs!,10,8,Effective for bipolar disorder and weight loss.,positive
Gabapentin,Restless Legs Syndrome,"I have been suffering from Restless legs syndrome for several years, sometimes very pronounced and frustrating. I recently had major surgery and, for reasons unknown to me, the doctor's prescribed Gabapentin for me (3 x 300mg caps daily). Since taking them my RLS has totally disappeared. That's right, totally. Nada, nunca, none. I has been two weeks now and I can only pray that this continues.",10,10,Complete relief from RLS with no side effects.,positive
Sildenafil,Erectile Dysfunction,"Use as needed. Recommended by pharmacist as an option to daily dose cialis, which I also used as needed. Would probably do ok without, under ideal circumstances, but at 59, is excellent booster. I take 20-30 mg at a time. Appears to stay in system longer than I originally expected. I don't see any negative side effects.",9,8,Effective ED booster with no notable side effects.,positive
Concerta,ADHD,"I have been taking Concerta for (ADHD) about 3 months now. The effects have been both positive and negative. I started off with 36 mg and my grades were increasing rapidly, and I was more focused, but I started to become more antisocial, angry, I didn't have an appetite, I had sleeping problems and depression. Then about two weeks ago I switched to 54 mg due to lack of focus, and my stomach has been troubling me. I'm having twitching problems, and I am hearing voices.",7,5,Mixed efficacy with severe side effects.,negative
Tioconazole,Vaginal Yeast Infection,"THE WORST itching I've ever experienced in my life, and in the worst place possible. Resisting the urge to scratch at myself was extremely difficult, but somehow I managed by holding a hot wash cloth to the area. It itched and burned for about 2 hours before it randomly subsided. I would only recommend this product to someone who honestly thinks they could handle the extreme itch. I wish I had read reviews before purchasing this $20 product. Had I known there was a 7 day pack, I would've chosen that one instead. For someone going through this exact pain while reading this and searching for some encouraging words... hang in there! It'll be over soon. Hot water is your savior.",3,1,Severe itching and burning with no relief.,negative
Tretinoin,Acne,"I had acne since 11 and I'm now 22, but Retin A really helped my get rid of them in 3 months. (I also cut dairy which is what I believe had caused my acne.) I started using retin A at 0.025->0.05% and I am seeing huge difference in my skin. Pores are significantly smaller as all my friends have complimented on how good my skin looks. Scars are going away faster than they do normally. I didn't have initial breakout like most people have. There's only occasional peeling when I don't drink enough water. I do notice my skin regenerate A LOT faster so remember to gently exfoliate your skin (light med peel). Amazing as it sounds, do give it a few months (or more depending on how your skin reacts to it). Going for 0.1% and I'll see how it goes!",10,8,Effective acne treatment with minor skin peeling.,positive
Generess Fe,Birth Control,"This birth control really helped control my periods they are far more light and less painful than before I started this pill. The down side is now it takes just about a miracle to get me turned on, which was never a problem before.",8,5,Improved periods but reduced libido.,negative
Drospirenone / ethinyl estradiol,Birth Control,"I have been on Yaz for a little over 4 months and have been surprisingly happy with it. I had mood swings and was pretty emotional for the first 2 months but it really has gone away. I was also bleeding a little irregularly at first but that also went away. The only complaint I have is that it has killed my sex drive and is causing problems in my relationship. I can't really ever get wet anymore which never used to be an issue. For that reason, I am switching to Paraguard which is non hormonal. I really wish it didn't cause me that problem because otherwise I love it!",9,5,Effective birth control with notable sexual dysfunction issues.,negative
Xanax,Panic Disorde,"I didn't realize all the stress that I had been under. I'd actually experienced a panic attack for the first time at 23 while I was driving home from college. I thought that I was going to die. I was frightened by the entire experience. I went to my doctor who prescribed me with the lowest dose of Xanax in addition to 20mg Prozac. About three months later my doctor decided to increase my Prozac to 30mg. I haven't needed Xanax for months, but I keep it on me where ever I go. Xanax is so fast acting. It calms my nerves instantly.",10,8,Effective panic attack relief with rapid onset.,positive
Junel Fe 1 / 20,Birth Control,After I started taking Junel I got my period and I've had it for over 2 weeks. It's pretty heavy and I have bad cramps. Hopefully it will go away or I am going to discontinue it.,3,5,Severe cramping and prolonged heavy periods despite non-hormonal benefit.,negative
Estradiol,Postmenopausal Symptoms,I love it. I don't have any problems at all. I'm so happy my Doctor prescribed this its amazing. I will recommend if your Doctor prescribed to you is excellent.,10,10,Effective treatment with no side effects.,positive
Tri-Previfem,Birth Control,Negative Side Effects: - Diarrhea for the first 4-5 days of taking it - Still heavy flow periods - Tension headaches everyday - Breast tenderness - I feel that I've been eating more (not sure if that's because of the birth control) - Heavy PMSing before periods Positive Side Effects: - Shorter period - Less acne - Less cramps,7,5,Effective birth control with notable side effects.,negative
Mycophenolate mofetil,Bullous Pemphigoid,"Was prescribed this for bullous pemphigoid. It did not work for it at all, but at least had no bad side effects that I noticed. Pharmacy switched my rx to the generic (I did not mind).",2,1,Ineffective treatment with no adverse effects.,negative
Drospirenone / ethinyl estradiol,Birth Control,"I wanted to say I had high hopes for this pill. I was on Alesse before Yaz. It was great at first but then Alesse started to make me depressed after 5 months. My doctor prescribed Yaz. Usually I'm very cheerful and happy, especially these days when NOTHING IS WRONG. Day 1 on Yaz I started to have anxiety and panic attacks about every little thing. Day 2 I would cry for no reason and felt anxious all day, if I wasn't crying it was because I was distracting myself from the bad thoughts that kept creeping up on me. Day 3 I couldn't be alone without freaking out, just panic attacks. I can't function like this!!",1,2,Severe anxiety and panic attacks with no therapeutic benefit.,negative
Docosanol,Herpes Simplex,"I just had the second worst experience with cold sores. I have had them my entire life. Once I had two of them on my bottom lip in the sixth grade, horrible experience. Anyways. I just had one on my upper lip 2 weeks ago, Then got a cold. (Don't wipe your nose too hard!!) - caused me a minor cold sore, that was gone within a day with Abreva because I caught it soon. And if things couldn't get any better. The next morning I woke up with a fat lip and a nasty cold sore. I suspect it was due to my dry lips. Keep your lips moisturized! Abreva works guys. Trust me. My suggestion?? Pop those blisters and quickly dry them up with a tissue. and put Abreva over the blister for faster results. Think about it-- you're essentially speeding up the work.",10,5,Severe side effects from dry lips; blister treatment helps.,negative
OxyContin,Pain,"I had a fatal accident 12 months ago a, broke both pelvis, multiple ribs, fractured ankle and many more fractures in my body. I use this medicine for the pain and it is 100% effective.",10,10,Life-saving pain relief with no adverse effects.,positive
Montelukast,Allergic Rhinitis,"My wife was on this stuff for at least a couple of years. She suffered severe tiredness, nightmares, irritability, and even suicidal thoughts, accompanied with severe depression! Although it did make her feel better the side effects are not worth it at all! She switched to flonaze and it is just as Good. Please, if you are on this medicine and have any of these side effects,please stop!",1,1,Severe side effects not worth the benefit.,negative
Escitalopram,Anxiety,"Severe depression,anxiety,bad mood and social phobia, obsessional irritable and desperate thoughts, always afraid to go out and meet friends, teachers ,family members,relatives and all other social gatherings.A month ago i start taking escitalopram 5mg(prescribed by psychiatrist) (generic)Laxapro is not available here. I am happy to share 90% My symptoms resolved, i felt like my eye sight has increased,everything look beautiful and colorful ,i got unknown source of happiness, even my friends say i am new man. (I am not recomending anyone to take escitalopram. Always consult a registerd practitioner)",9,8,"Effective for anxiety, but not recommended by a professional.",positive
Isotretinoin,Acne,"If your face doesn't respond to over the counter products, you don't need to try everything out there. ProActiv, SkinID, OXY, they are all the same! Don't hesitate to try this miracle drug. Pay attention to the side effects, of course, but this is not just a treatment, it is a cure. I had severe acne from 16 - 20 and I tried everything! Doctors were so reluctant to use this Accutane, keeping it as a last resort. Once they were finally convinced I wasn't responding to anything else, and that I wouldn't just outgrow it, they finally put me on it, and the results were dramatic. Within weeks, I could actually feel the change in my skin. My skin finally felt normal, instead of greasy and painful. I wasn't afraid to touch it anymore.",10,10,Miracle drug for severe acne with dramatic results.,positive
Carbamazepine,Bipolar Disorde,"I do feel that this medication works, regular blood work to check levels in the blood are crucial. I have been diagnosed with bipolar disorder for 16 years and have been on this medication since the year 2000. It worked better back then, I do have an appointment with a psychiatrist to go over the mediaction as I do not feel that it is working as good as it used to. Perhaps my body has become immune to it.",6,5,Partial relief with declining effectiveness and need for blood monitoring.,negative
Etonogestrel,Birth Control,"I heard about Nexplanon from my step mother. I got the Nexplanon in December of 2013. I did have side effects, my major ones are depression, lack of sex drive, and mood swings. I can deal with those. I didn't have a period for almost a year! In September of 2014 I had my first period for like 2 days, now it's October and I'm having my second period this month. The first one was extremely heavy, which is highly unusual for me, and the second very light. All in all a great birth control method.",10,10,Effective birth control with manageable side effects.,positive
Chantix,Smoking Cessation,I've been on it for about 4 months I'm also on depression pills anxiety pills and sleeping pills the only side effect is my bizarre dreams like cows jumping over fences its worth the money its like how much do you spend a month on cigs,10,5,Moderate smoking cessation success with bizarre dreams.,positive
Sulfamethoxazole / trimethoprim,Urinary Tract Infection,"I took one for the first time for a urinary tract infection and about 3-4 hours after taking I had rapid heart beat, shaking, diarrhea and nausea. I took a Xanax because I mistook this for a panic attack but the Xanax did nothing to help and I started to get a strange flushing, burning skin sensation. The sensation happens in waves over my skin, very strange like nothing that has ever happened to me. Called Dr.s office and was told it was an allergic reaction, been taking Benadryl all day but still feeling the effects over 2 hours later!",1,1,Severe allergic reaction with multiple symptoms.,negative
Ethinyl estradiol / norgestimate,Birth Control,"Just started taking these pills a few weeks ago. Am on the placebo pills part of the pack now. Period has not started yet. Side effects I've been experiencing: fatigue, nausea(non-stop), slight cramping, acne breakouts(which I've never had an issue with before), fuller breasts, very sore/tender breasts, and my period has yet to start. However, I did have unprotected sex within the first 7 days of starting the pill. So, my symptoms could be signs of early pregnancy or adverse side effects of the pill. Will update in a few days.",5,5,Mixed results with multiple side effects and potential pregnancy concern.,negative
Ethinyl estradiol / levonorgestrel,Birth Control,"I got on these pills mainly due to the fact that my partner and I are highly sexually active. As of lately not much due to these pills making me moody as well as of course I would get one of the rare side effects. I have vaginal dryness, I have no period which makes me sketched out and my libido is low. This pill just isn't for me I couldn't make it past the one month mark. I feel like I should have shopped out more options on the pill side.",2,2,Highly ineffective due to numerous adverse effects.,negative
Vortioxetine,Depression,"Worst antidepressant out there. Ruined my life. I took 5 mg for a week, then 10mg for 2 weeks, gone up to 15mg but couldn't persist because of unbearable itching so went back to 10mg for another three weeks. I stopped taking it because it was completely unhelpful, all in all - 1.5 months with this drug. When I quit it I began experiencing withdrawal symptoms: Brain zaps, muscle twitches, tight muscles, extreme agitation and restlessness, no focus or concentration, loss of memory. I'm writing this review almost a year after quitting this drug(!) and still the symptoms persist. I think that it caused permanent brain damage. If you've been hurt by this drug like me, spread the word! If you're considering taking it, STAY AWAY!",1,1,Severe adverse reactions and permanent brain damage.,negative
NuvaRing,Birth Control,"I love being on the NuvaRing! I switched from the pill because it was making me sick every other day and it wasn't the best thing to experience. The NuvaRing has been awesome! I was a little worried about it at first with being in me for 3 weeks straight and if my boyfriend would mind it, but he hasn't said a word about it being in. I don't have to worry about being sick everyday or missing a dose because I can put it in for 3 weeks and forget about it! it has been 100% effective also, we use no other forms of birth control and I'm still not pregnant. The only downside is that I've started to notice I'm a little more dry than usual, but I wouldn't think about going off of it because of that. Its been great and I will continue to use it.",9,8,Effective birth control with minimal side effects.,positive
Fluconazole,Vaginal Yeast Infection,This stuff made me bleed nor did it work; so I ended up going with the 3 day cream in the end-clotrimazole.,1,1,Bleeding and ineffective for yeast infection.,negative
Ethinyl estradiol / norethindrone,Birth Control,"I'm 31. Just finish 3rd month of Loestrin. Severely tender breasts 3 weeks out of the month. Major mood swings and depression during 3rd week of the month. Headaches got worse over course of 3 months. Tiny bit of weight gain, no acne and almost no period, they only last about 2 days. Doctor switched me to Loseasonique because of the mood swings.",6,2,Severe side effects led to discontinuation.,negative
Norgesic,Muscle Pain,I found this in Amman Jordan while traveling. The first thing I found that helps migraine symptoms. Can't find it in USA.,9,5,"Effective for migraines, unknown for muscle pain.",negative
Bupropion,Depression,"Did not help me. Made me feel extremely tired to the point I was falling asleep while driving and during class (which wasn't like me, because I'm also on Vyvanse (A stimulant)) Went off it quickly.",2,2,Ineffective and caused excessive daytime sleepiness.,negative
Trazodone,Anxiety,Not sure,6,5,Uncertain efficacy for anxiety treatment.,negative
Doxycycline,Skin or Soft Tissue Infection,"your skin will clear up while ur on this drug. This drug will screw your gut bacteria so when u stop takin it, ur acne will come back way worse. Avoid this drug at all cost.",1,5,Effective against skin infections with severe gut side effects.,negative
Cetirizine,Allergic Rhinitis,This worked amazingly. I used to be hardly able to breathe because of pollen. It's worked wonders.,10,10,Complete relief from severe allergic symptoms.,positive
Estradiol,Postmenopausal Symptoms,Hot flashes.,10,8,Effective for managing hot flashes with minimal side effects.,positive
Amitriptyline,Migraine Prevention,"I had been taking propranolol for migraine prevention, but I was still taking Imitrex more often than I should have. I moved to a new town and met with a PA who suggested Amitriptyline. Wow! I went 2 weeks straight without a headache and have taken Imitrex only twice in the past 3.5 weeks. It has been like a miracle for me. The only side effect I've had was some afternoon sleepiness, but that passed after the first week. If you feel like you get headaches every day, ask your doctor about this medication.",9,8,Effective migraine prevention with mild sleepiness.,positive
Ethinyl estradiol / norethindrone,Birth Control,"After switching from levora* to which I had the worst experience for 3 months, gained 14 lbs* my doctor decided to prescribe microgestin, I'm in my 2nd pack and so far I've had The only thing good about this pill is my high sex drive and that's it Other than that it's Headaches Short breathe Ache Moody Increased of hunger Weight gain Blurred vision Light periods *good* I seem to have gotten all of the side effects on this pill, but overall it does the job and I'm not prego. But I'm gonna stick around a little more to see how my body does for the last pack.",5,5,Many side effects with only high sex drive as a,negative
Exemestane,Breast Cance,"This is the second inhibitor that I have tried. Started off great, but now after 3 months am wondering if it is all worth it. The tiredness, insomnia and swollen hands and feet are bad enough. The worst part is the confusion. I go to appointments at the wrong times, can't remember some of the grandchildrens names! Along with the hot flushes and nausea, not fun. Then the doctor tells me that I need it for 10 years and just work through the side effects!",3,5,Effective but with severe side effects impacting quality of life.,negative
Methocarbamol,Muscle Spasm,I have sciatica. It took this medicine a couple of days to take effect on me but it finally did. It's okay.,6,5,Delayed partial relief for sciatica.,positive
Varenicline,Smoking Cessation,"I'm stopping smoking for years now, tried everything. And I mean EVERYTHING, and repeatedly. I thought this is not going to happen, ever. Then I started Chantix and it is over 4 months now that I did not have a single cigarette. Even though these urges are still there, it definitely takes the edge of it, and makes quitting manageable. True - you also have to be ready. I just hated it lately, the smell, the whole thing - but was unable to say ""no"" to it. It is disgusting, nasty habit, and I'm so glad that I did it. I'll NEVER pick up a cigarette again, after all that I have to go through to finally make it. Good luck folks - Chantix works! I didn't even have to finish it all - stopped taking it about half way through the second box.",10,8,Effective smoking cessation aid with manageable side effects.,positive
Pristiq,Depression,"I started taking Pristiq 50mg for Major Depression, major anxiety, Chronic pain. I took it first day and it was GREAT! First week sleep, headaches were rough but energy was good. Gradually started decreasing by itself as I kept taking the pills. 9 month's later I was still taking the pills but I was dizzy, getting brain zaps, CRS, tinnitus, major anxiety, non-stop migraine for 2 months, bed rest, and had to go to psych hospital. Psych. MD upped to 100mg Pristiq that lasted a week. My whole spine was HURTING and now I am switching over to a new SNRI that I am not happy about. And still on withdrawal from Pristiq.",8,1,Severe side effects and withdrawal symptoms after long-term use.,negative
Clonazepam,Panic Disorde,I had started taking this medication after I slowly went of off lorazepam since it stopped working for my panic attacks. I found that Clonazepam took time in beginning to work since it long lasting one than after couple hours to days it started working for my panic attacks and insomnia issues. It helps my pins and needles issues too and my blood pressure is normal too. The only problem is it makes my depression sometimes worse. I also get little bit over sleepy like in daytime I feel a hangover of sleepiness and sometimes I feel bit dopey so I take two 5mg of it at night time but If I feel it too much I sometimes take 1 in a half to limit too much sleepiness. I also am afraid to lose my brain because I tend to forget where I put things at.,7,5,Effective for some symptoms with notable side effects.,negative
Sulfamethoxazole / trimethoprim,Urinary Tract Infection,Helped clear infection but made me very moody and depressed!! Just finished 3 day course hope the side effects fade ... Nasty :(,5,5,Effective treatment with notable mood changes.,negative
Meprobamate,Anxiety,"Helps immensly. I have taken three 400mg every day for 30 years and never increased my dose. Often, I forget to take it and never had withdrawal.",10,10,Effective long-term anxiety relief without side effects.,positive
Eltrombopag,Idiopathic Thrombocytopenic Purpura,"My platelet count was dangerously low. After taking 50mg Promacta daily, my count was 275 after one month. I have not had any side effects whatsoever. However, I am curious as to why dairy is prohibited for four hours before and after taking medication. The only other negative is the cost. Thank God for insurance help.",10,8,Effective platelet boost with minor dietary restrictions and cost concerns.,positive
